code,system
56675007,snomedct
84114007,snomedct
42343007,snomedct
54329005,snomedct
57054005,snomedct
73795002,snomedct
22298006,snomedct
401303003,snomedct
401314000,snomedct
53741008,snomedct
367363000,snomedct
85232009,snomedct
394659003,snomedct
232721002,snomedct
232723004,snomedct
232722009,snomedct
232717009,snomedct
232720001,snomedct
232722010,snomedct
38341003,snomedct
59621000,snomedct
276789009,snomedct
50490005,snomedct
64715009,snomedct
70272006,snomedct
56218007,snomedct
414545008,snomedct
194828000,snomedct
128404006,snomedct
